InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
565612,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-09-05 15:17:00,1.95,12616.0,France
539735,18098c,PORCELAIN BUTTERFLY OIL BURNER,2,2010-12-21 15:17:00,5.06,,United Kingdom
559557,22398,MAGNETS PACK OF 4 SWALLOWS,12,2011-07-11 10:33:00,0.39,17444.0,Canada
551747,85039C,S/4 BLACK MINI ROSE CANDLE IN BOWL,96,2011-05-04 11:00:00,0.42,14298.0,United Kingdom
550636,85202,HANGING WOOD AND FELT HEART,2,2011-04-19 15:37:00,0.79,,United Kingdom
580152,22708,WRAP DOLLY GIRL,25,2011-12-02 10:22:00,0.42,12364.0,Belgium
567186,21621,VINTAGE UNION JACK BUNTING,3,2011-09-18 16:04:00,8.5,17073.0,United Kingdom
553833,22385,JUMBO BAG SPACEBOY DESIGN,3,2011-05-19 11:41:00,2.08,17346.0,United Kingdom
C550538,37495,FAIRY CAKE BIRTHDAY CANDLE SET,-2,2011-04-19 11:26:00,3.75,17746.0,United Kingdom
538518,21098,CHRISTMAS TOILET ROLL,1,2010-12-12 16:14:00,1.25,14505.0,United Kingdom
543713,21731,RED TOADSTOOL LED NIGHT LIGHT,10,2011-02-11 11:46:00,4.13,,United Kingdom
544772,22659,LUNCH BOX I LOVE LONDON,2,2011-02-23 11:12:00,2.46,,United Kingdom
542399,22938,CUPCAKE LACE PAPER SET 6,12,2011-01-27 15:38:00,1.95,15549.0,United Kingdom
560120,22938,CUPCAKE LACE PAPER SET 6,12,2011-07-15 10:27:00,1.95,14907.0,United Kingdom
568946,22740,adjustment,89,2011-09-29 15:01:00,0.0,,United Kingdom
552817,22997,TRAVEL CARD WALLET UNION JACK,24,2011-05-11 12:47:00,0.42,13136.0,United Kingdom
566233,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,2011-09-11 11:04:00,0.85,12635.0,Germany
574304,21896,POTTING SHED TWINE,2,2011-11-03 16:30:00,2.1,14428.0,United Kingdom
576559,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-11-15 13:19:00,2.95,14711.0,United Kingdom
578354,23583,LUNCH BAG PAISLEY PARK  ,20,2011-11-24 10:12:00,1.65,17139.0,United Kingdom
559305,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,2011-07-07 12:56:00,6.75,17892.0,United Kingdom
576098,23388,WOODLAND MINI BACKPACK,4,2011-11-14 10:01:00,4.15,14862.0,United Kingdom
575325,23369,SET 36 COLOUR PENCILS LOVE LONDON,4,2011-11-09 13:46:00,1.25,17293.0,United Kingdom
577853,22283,6 EGG HOUSE PAINTED WOOD,2,2011-11-22 11:13:00,7.95,13681.0,United Kingdom
567667,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-09-21 15:24:00,5.79,,United Kingdom
564090,23294,SET OF 6 SNACK LOAF BAKING CASES,8,2011-08-23 09:53:00,0.83,17041.0,United Kingdom
548486,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,2011-03-31 12:51:00,9.95,12909.0,United Kingdom
571656,22383,LUNCH BAG SUKI DESIGN ,5,2011-10-18 12:43:00,1.65,16393.0,United Kingdom
576079,84687,BEACH HUT SHELF W 3 DRAWERS,1,2011-11-13 16:24:00,5.95,16877.0,United Kingdom
571242,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2011-10-14 15:04:00,2.55,17809.0,United Kingdom
554009,84950,ASSORTED COLOUR T-LIGHT HOLDER,12,2011-05-20 12:38:00,0.65,12935.0,United Kingdom
571671,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,4,2011-10-18 13:15:00,2.95,16940.0,United Kingdom
536796,84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,1,2010-12-02 15:46:00,3.75,15574.0,United Kingdom
550471,21990,MODERN FLORAL STATIONERY SET,1,2011-04-18 13:52:00,2.46,,United Kingdom
551006,47566b,TEA TIME PARTY BUNTING,1,2011-04-26 09:48:00,8.29,,United Kingdom
537640,85099C,JUMBO  BAG BAROQUE BLACK WHITE,19,2010-12-07 15:31:00,4.21,,United Kingdom
559817,35923,CANDY HEART HANGING DECORATION,2,2011-07-12 16:20:00,0.83,,United Kingdom
567126,20677,PINK POLKADOT BOWL,3,2011-09-16 13:53:00,1.25,17238.0,United Kingdom
545978,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-03-08 12:19:00,1.25,13975.0,United Kingdom
578092,21934,SKULL SHOULDER BAG,10,2011-11-22 17:19:00,1.65,16811.0,United Kingdom
560225,22423,REGENCY CAKESTAND 3 TIER,2,2011-07-15 16:27:00,24.96,,United Kingdom
536876,22738,RIBBON REEL SNOWY VILLAGE,1,2010-12-03 11:36:00,3.36,,United Kingdom
569672,22467,GUMBALL COAT RACK,12,2011-10-05 13:58:00,2.55,17841.0,United Kingdom
555401,22781,GUMBALL MAGAZINE RACK,9,2011-06-02 17:51:00,6.75,14088.0,United Kingdom
574321,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2011-11-03 19:28:00,2.95,16016.0,United Kingdom
560434,22625,RED KITCHEN SCALES,1,2011-07-18 15:56:00,16.63,,United Kingdom
563722,22219,LOVEBIRD HANGING DECORATION WHITE ,12,2011-08-18 16:32:00,0.85,17720.0,United Kingdom
560089,20618,QUEEN OF THE SKIES PASSPORT COVER ,1,2011-07-14 16:45:00,2.1,12748.0,United Kingdom
551517,79030G,TUMBLER NEW ENGLAND,12,2011-05-01 11:14:00,0.39,16931.0,United Kingdom
564383,22457,NATURAL SLATE HEART CHALKBOARD ,48,2011-08-25 10:49:00,2.55,15251.0,United Kingdom
580367,23175,REGENCY MILK JUG PINK ,2,2011-12-02 16:39:00,7.46,,United Kingdom
564818,23348,CHILDRENS TOY COOKING UTENSIL SET,1,2011-08-30 12:10:00,4.13,,United Kingdom
549740,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-04-12 09:49:00,0.55,15981.0,United Kingdom
568231,22331,WOODLAND PARTY BAG + STICKER SET,28,2011-09-26 11:19:00,1.65,14808.0,United Kingdom
541827,90002D,FLOWER BURST SILVER RING CRYSTAL,1,2011-01-21 17:05:00,3.73,,United Kingdom
574960,22112,CHOCOLATE HOT WATER BOTTLE,6,2011-11-08 10:17:00,4.95,17091.0,United Kingdom
567183,22423,REGENCY CAKESTAND 3 TIER,2,2011-09-18 15:32:00,12.75,14769.0,United Kingdom
555846,22487,WHITE WOOD GARDEN PLANT LADDER,2,2011-06-07 13:21:00,9.95,14180.0,United Kingdom
567184,23431,NATURAL HANGING QUILTED HEARTS ,12,2011-09-18 15:41:00,0.83,16033.0,United Kingdom
558068,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,4,2011-06-24 15:51:00,1.63,,United Kingdom
549023,21399,BLUE POLKADOT COFFEE MUG,5,2011-04-05 16:27:00,1.63,,United Kingdom
553678,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-05-18 13:00:00,2.95,14009.0,United Kingdom
573149,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,1,2011-10-27 19:56:00,1.25,16438.0,United Kingdom
577143,22424,ENAMEL BREAD BIN CREAM,2,2011-11-18 09:31:00,12.75,13200.0,United Kingdom
579187,90074,BLACK DIAMOND CLUSTER NECKLACE,1,2011-11-28 15:31:00,9.57,,United Kingdom
559807,23147,SINGLE ANTIQUE ROSE HOOK IVORY,3,2011-07-12 14:48:00,1.45,17841.0,United Kingdom
576329,21982,PACK OF 12 SUKI TISSUES ,2,2011-11-14 15:22:00,0.83,,United Kingdom
580115,22699,ROSES REGENCY TEACUP AND SAUCER ,4,2011-12-01 16:22:00,5.79,,United Kingdom
572741,23504,PLAYING CARDS JUBILEE UNION JACK,12,2011-10-25 15:47:00,1.25,14341.0,United Kingdom
573405,22457,NATURAL SLATE HEART CHALKBOARD ,2,2011-10-30 15:55:00,2.95,13822.0,United Kingdom
549241,21931,JUMBO STORAGE BAG SUKI,2,2011-04-07 11:40:00,2.08,15719.0,United Kingdom
581256,22426,ENAMEL WASH BOWL CREAM,1,2011-12-08 11:21:00,8.29,,United Kingdom
553505,23231,WRAP DOILEY DESIGN,25,2011-05-17 13:27:00,0.42,12949.0,United Kingdom
568912,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,2011-09-29 13:45:00,1.25,17528.0,United Kingdom
569968,23322,LARGE WHITE HEART OF WICKER,2,2011-10-06 18:56:00,2.95,17921.0,United Kingdom
572964,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2011-10-27 10:41:00,2.95,12630.0,Finland
572302,22151,PLACE SETTING WHITE HEART,13,2011-10-23 14:47:00,0.42,15427.0,United Kingdom
C573321,85040A,S/4 PINK FLOWER CANDLES IN BOWL,-1,2011-10-30 10:35:00,1.65,14546.0,United Kingdom
560383,23165,LARGE CERAMIC TOP STORAGE JAR,12,2011-07-18 12:52:00,1.65,16762.0,United Kingdom
576182,23323,WHITE WICKER STAR ,6,2011-11-14 11:21:00,2.1,12938.0,United Kingdom
557442,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,2,2011-06-20 12:53:00,2.55,14808.0,United Kingdom
550799,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-04-20 14:46:00,0.65,17115.0,United Kingdom
548670,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,2011-04-01 15:37:00,3.95,15356.0,United Kingdom
575943,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,2011-11-13 11:44:00,1.65,17920.0,United Kingdom
580539,21115,ROSE CARAVAN DOORSTOP,8,2011-12-05 08:39:00,1.95,18180.0,United Kingdom
553552,23203,JUMBO BAG DOILEY PATTERNS,20,2011-05-17 16:23:00,2.08,17702.0,United Kingdom
539379,21527,RED RETROSPOT TRADITIONAL TEAPOT ,2,2010-12-17 11:43:00,7.95,15780.0,United Kingdom
547000,22520,CHILDS GARDEN TROWEL BLUE ,12,2011-03-18 13:51:00,0.85,14282.0,United Kingdom
549716,22669,RED BABY BUNTING ,5,2011-04-11 14:43:00,2.95,14628.0,United Kingdom
542110,22727,ALARM CLOCK BAKELIKE RED ,4,2011-01-25 13:46:00,3.75,14189.0,United Kingdom
552232,21012,ANTIQUE ALL GLASS CANDLESTICK,14,2011-05-06 15:54:00,2.46,,United Kingdom
573415,22117,METAL SIGN HER DINNER IS SERVED ,1,2011-10-30 16:17:00,2.95,13607.0,United Kingdom
565684,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-09-06 10:46:00,1.25,16455.0,United Kingdom
581023,22941,CHRISTMAS LIGHTS 10 REINDEER,1,2011-12-07 10:35:00,16.63,,United Kingdom
560862,22294,HEART FILIGREE DOVE  SMALL,4,2011-07-21 13:48:00,1.25,14085.0,United Kingdom
541265,M,Manual,2,2011-01-16 16:23:00,1.25,17609.0,United Kingdom
556502,22814,CARD PARTY GAMES ,12,2011-06-13 08:43:00,0.42,13761.0,United Kingdom
562907,22467,GUMBALL COAT RACK,6,2011-08-10 12:44:00,2.55,14116.0,United Kingdom
538566,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1,2010-12-13 11:21:00,1.66,,United Kingdom
555405,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-06-02 19:17:00,2.95,17531.0,United Kingdom
575706,22633,HAND WARMER UNION JACK,3,2011-11-10 17:13:00,2.1,14713.0,United Kingdom
573892,22835,HOT WATER BOTTLE I AM SO POORLY,4,2011-11-01 13:57:00,4.95,14911.0,EIRE
579508,23396,LE JARDIN BOTANIQUE CUSHION COVER,1,2011-11-29 16:33:00,10.79,,United Kingdom
551747,37413,ICON MUG REVOLUTIONARY,96,2011-05-04 11:00:00,0.39,14298.0,United Kingdom
576617,84251G,"GREETING CARD, OVERCROWDED POOL.",1,2011-11-15 16:57:00,0.83,,United Kingdom
577507,85227,SET OF 6 3D KIT CARDS FOR KIDS,2,2011-11-20 12:42:00,0.85,14710.0,United Kingdom
550017,21166,COOK WITH WINE METAL SIGN ,12,2011-04-14 11:07:00,2.08,17865.0,United Kingdom
539444,22299,PIG KEYRING WITH LIGHT & SOUND ,24,2010-12-17 15:52:00,1.25,14146.0,United Kingdom
562045,22961,JAM MAKING SET PRINTED,12,2011-08-02 10:33:00,1.45,12644.0,Germany
544112,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2011-02-16 11:37:00,2.95,15039.0,United Kingdom
557939,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,2011-06-23 15:44:00,0.55,12697.0,Sweden
552666,22677,FRENCH BLUE METAL DOOR SIGN 2,1,2011-05-10 15:05:00,2.46,,United Kingdom
C566785,23423,PANTRY 3 HOOK ROLLING PIN HANGER,-2,2011-09-15 10:28:00,3.75,17071.0,United Kingdom
572923,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2011-10-27 08:35:00,2.95,15948.0,United Kingdom
550459,22283,6 EGG HOUSE PAINTED WOOD,1,2011-04-18 13:17:00,7.95,18116.0,United Kingdom
550464,47594A,CAROUSEL DESIGN WASHBAG,1,2011-04-18 13:30:00,1.95,16550.0,United Kingdom
571508,23368,SET 12 COLOUR PENCILS DOLLY GIRL ,12,2011-10-17 15:27:00,1.25,,United Kingdom
546884,85099B,JUMBO BAG RED RETROSPOT,1,2011-03-17 18:08:00,4.13,,United Kingdom
560190,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,2011-07-15 12:33:00,0.65,15737.0,United Kingdom
575923,82582,AREA PATROLLED METAL SIGN,12,2011-11-11 17:11:00,2.1,17069.0,United Kingdom
543660,22360,GLASS JAR ENGLISH CONFECTIONERY,2,2011-02-11 10:40:00,5.79,,United Kingdom
543804,22078,RIBBON REEL LACE DESIGN ,5,2011-02-13 12:17:00,2.1,16434.0,United Kingdom
570187,84912B,GREEN ROSE WASHBAG,1,2011-10-07 15:09:00,3.29,,United Kingdom
544968,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,8,2011-02-25 11:30:00,3.75,13458.0,United Kingdom
576646,23371,SET 36 COLOUR PENCILS SPACEBOY ,16,2011-11-16 10:18:00,1.25,,Unspecified
C567690,23630,SET 10 CARDS HANGING BAUBLES 17080,-1,2011-09-21 17:01:00,2.99,15810.0,United Kingdom
557674,47566B,TEA TIME PARTY BUNTING,40,2011-06-22 10:19:00,4.95,16422.0,United Kingdom
570839,22283,6 EGG HOUSE PAINTED WOOD,8,2011-10-12 14:08:00,7.95,14911.0,EIRE
555722,85131B,BEADED CRYSTAL HEART GREEN ON STICK,1,2011-06-06 16:06:00,0.83,,United Kingdom
565847,21217,RED RETROSPOT ROUND CAKE TINS,2,2011-09-07 12:44:00,20.79,,United Kingdom
563349,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,3,2011-08-15 13:51:00,0.83,14623.0,United Kingdom
549120,22525,CHILDRENS GARDEN GLOVES PINK,2,2011-04-06 13:28:00,1.25,14587.0,United Kingdom
556936,20718,RED RETROSPOT SHOPPER BAG,1,2011-06-15 16:04:00,1.25,,United Kingdom
552712,48188,DOORMAT WELCOME PUPPIES,2,2011-05-11 08:34:00,7.95,17634.0,United Kingdom
574074,85049H,URBAN BLACK RIBBONS ,1,2011-11-02 15:33:00,0.83,,United Kingdom
546993,20979,36 PENCILS TUBE RED RETROSPOT,2,2011-03-18 13:19:00,1.25,17921.0,United Kingdom
554514,21407,BROWN CHECK CAT DOORSTOP ,1,2011-05-24 15:58:00,8.29,,United Kingdom
552229,16052,TEATIME PUSH DOWN RUBBER,2,2011-05-06 15:40:00,0.83,,United Kingdom
540689,22469,HEART OF WICKER SMALL,1356,2011-01-11 08:43:00,1.93,17450.0,United Kingdom
579541,23418,LAVENDER TOILETTE BOTTLE,2,2011-11-30 10:12:00,2.08,14653.0,United Kingdom
545412,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,15,2011-03-02 12:24:00,2.55,15061.0,United Kingdom
555853,37489B,BLUE/YELLOW FLOWER DESIGN BIG MUG,1,2011-06-07 13:44:00,0.39,14375.0,United Kingdom
558777,21003,ROSE DU SUD CUSHION COVER,1,2011-07-04 10:23:00,5.79,,United Kingdom
577027,22507,MEMO BOARD RETROSPOT  DESIGN,4,2011-11-17 12:56:00,4.95,12647.0,Germany
562104,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-08-02 14:31:00,6.63,,United Kingdom
570111,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2011-10-07 12:28:00,2.08,15005.0,United Kingdom
578347,22065,CHRISTMAS PUDDING TRINKET POT ,2,2011-11-24 09:26:00,1.63,,United Kingdom
575602,23681,LUNCH BAG RED VINTAGE DOILY,2,2011-11-10 12:27:00,1.65,17059.0,United Kingdom
553151,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,12,2011-05-13 14:53:00,2.95,13089.0,United Kingdom
552291,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-05-08 14:00:00,2.08,15421.0,United Kingdom
574103,23397,FOOT STOOL HOME SWEET HOME ,2,2011-11-03 10:30:00,9.95,13636.0,United Kingdom
558046,22918,HERB MARKER PARSLEY,12,2011-06-24 13:47:00,0.65,,EIRE
574734,23571,TRADITIONAL NAUGHTS & CROSSES,1,2011-11-06 15:20:00,1.65,15025.0,United Kingdom
549295,47574A,ENGLISH ROSE SCENTED HANGING FLOWER,1,2011-04-07 19:49:00,2.46,,United Kingdom
568040,22312,OFFICE MUG WARMER POLKADOT,12,2011-09-23 12:09:00,2.95,12681.0,France
569651,23535,WALL ART BICYCLE SAFETY,1,2011-10-05 12:49:00,5.95,14534.0,United Kingdom
562708,22412,METAL SIGN NEIGHBOURHOOD WITCH ,3,2011-08-08 14:15:00,2.1,17085.0,United Kingdom
548733,22430,ENAMEL WATERING CAN CREAM,4,2011-04-04 10:29:00,4.95,17648.0,United Kingdom
558475,22502,PICNIC BASKET WICKER SMALL,1,2011-06-29 15:58:00,10.79,,United Kingdom
557215,23121,PACK OF 6 COCKTAIL PARASOL STRAWS,24,2011-06-17 12:22:00,0.42,17677.0,United Kingdom
541489,21313,GLASS HEART T-LIGHT HOLDER ,3,2011-01-18 13:38:00,0.85,15023.0,United Kingdom
557041,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,2011-06-16 14:24:00,1.65,13575.0,United Kingdom
579196,22689,DOORMAT MERRY CHRISTMAS RED ,4,2011-11-28 15:54:00,16.63,14096.0,United Kingdom
563262,23201,JUMBO BAG ALPHABET,1,2011-08-15 12:44:00,2.08,15311.0,United Kingdom
562444,20719,WOODLAND CHARLOTTE BAG,3,2011-08-04 18:44:00,0.85,14713.0,United Kingdom
550213,22697,GREEN REGENCY TEACUP AND SAUCER,3,2011-04-15 10:42:00,5.79,,United Kingdom
544336,21527,RED RETROSPOT TRADITIONAL TEAPOT ,1,2011-02-17 19:36:00,7.95,13230.0,United Kingdom
562014,21932,SCANDINAVIAN PAISLEY PICNIC BAG,10,2011-08-01 14:05:00,1.65,14341.0,United Kingdom
578068,23493,VINTAGE DOILY TRAVEL SEWING KIT,1,2011-11-22 15:45:00,1.95,14505.0,United Kingdom
556784,22675,FRENCH KITCHEN SIGN BLUE METAL,6,2011-06-14 13:15:00,1.25,14461.0,United Kingdom
551351,22465,HANGING METAL STAR LANTERN,24,2011-04-28 10:20:00,1.45,14298.0,United Kingdom
578544,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-11-24 15:01:00,4.95,17096.0,United Kingdom
537201,22077,6 RIBBONS RUSTIC CHARM,24,2010-12-05 14:19:00,1.65,12472.0,Germany
566164,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,2011-09-09 11:56:00,8.29,,United Kingdom
541302,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-01-17 14:18:00,2.95,13769.0,United Kingdom
537240,22336,DOVE DECORATION PAINTED ZINC ,4,2010-12-06 10:08:00,1.28,,United Kingdom
576176,21947,SET OF 6 HEART CHOPSTICKS,1,2011-11-14 11:04:00,1.25,16936.0,United Kingdom
553832,21025,SPACE FROG,10,2011-05-19 11:38:00,1.25,12957.0,United Kingdom
538051,22902,TOTE BAG I LOVE LONDON,5,2010-12-09 13:24:00,2.1,18041.0,United Kingdom
576590,23120,PACK OF 6 SMALL FRUIT STRAWS,24,2011-11-15 14:30:00,0.42,16240.0,United Kingdom
562029,23200,JUMBO BAG PEARS,100,2011-08-01 16:41:00,1.79,16182.0,United Kingdom
560999,23254,CHILDRENS CUTLERY DOLLY GIRL ,1,2011-07-22 14:13:00,4.15,,United Kingdom
552520,37500,TEA TIME TEAPOT IN GIFT BOX,1,2011-05-09 16:34:00,8.29,,United Kingdom
538508,21807,WHITE CHRISTMAS STAR DECORATION,12,2010-12-12 13:32:00,0.42,15998.0,United Kingdom
572329,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-10-24 10:13:00,11.95,14019.0,United Kingdom
546982,22999,TRAVEL CARD WALLET RETRO PETALS,1,2011-03-18 12:26:00,0.42,15483.0,United Kingdom
542633,21215,IVORY PAPER CUP CAKE CASES ,1,2011-01-31 10:31:00,1.25,,United Kingdom
542836,85099B,JUMBO BAG RED RETROSPOT,6,2011-02-01 11:31:00,1.95,16745.0,United Kingdom
538367,20830,SILVER PHOTO FRAME,6,2010-12-12 10:48:00,2.1,14800.0,United Kingdom
577606,POST,POSTAGE,3,2011-11-21 09:11:00,28.0,12462.0,Spain
552961,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-05-12 12:54:00,1.25,15489.0,United Kingdom
564840,20727,LUNCH BAG  BLACK SKULL.,2,2011-08-30 12:49:00,4.13,,United Kingdom
577755,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2011-11-21 14:49:00,2.95,17010.0,United Kingdom
576644,21843,RED RETROSPOT CAKE STAND,1,2011-11-16 10:01:00,20.79,,United Kingdom
556935,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-06-15 15:57:00,0.55,17651.0,United Kingdom
550106,22990,COTTON APRON PANTRY DESIGN,3,2011-04-14 12:31:00,4.95,13772.0,United Kingdom
537429,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,2,2010-12-06 15:54:00,0.42,12748.0,United Kingdom
539958,84692,BOX OF 24 COCKTAIL PARASOLS,1,2010-12-23 13:26:00,0.85,,United Kingdom
571054,20764,ABSTRACT CIRCLES SKETCHBOOK ,2,2011-10-13 13:58:00,3.75,14234.0,United Kingdom
561214,22391,PAPERWEIGHT HOME SWEET HOME,1,2011-07-25 17:00:00,4.96,,United Kingdom
572312,22138,BAKING SET 9 PIECE RETROSPOT ,2,2011-10-23 15:47:00,4.95,15022.0,United Kingdom
557211,22624,IVORY KITCHEN SCALES,12,2011-06-17 11:49:00,7.65,15513.0,United Kingdom
558754,22382,LUNCH BAG SPACEBOY DESIGN ,2,2011-07-03 12:10:00,1.65,15518.0,United Kingdom
576059,23583,LUNCH BAG PAISLEY PARK  ,2,2011-11-13 15:19:00,1.65,15411.0,United Kingdom
537434,22212,FOUR HOOK  WHITE LOVEBIRDS,1,2010-12-06 16:57:00,4.21,,United Kingdom
563443,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-08-16 13:26:00,0.55,12641.0,Sweden
541699,47504K,ENGLISH ROSE GARDEN SECATEURS,24,2011-01-21 09:03:00,0.85,17744.0,United Kingdom
536621,10135,COLOURING PENCILS BROWN TUBE,10,2010-12-02 10:35:00,1.25,13108.0,United Kingdom
547788,21231,SWEETHEART CERAMIC TRINKET BOX,1,2011-03-25 12:00:00,2.46,,United Kingdom
C546267,22046,TEA PARTY  WRAPPING PAPER ,-9,2011-03-10 15:02:00,0.42,15093.0,United Kingdom
563351,23081,GREEN METAL BOX ARMY SUPPLIES,16,2011-08-15 14:17:00,7.5,16902.0,United Kingdom
542107,21671,RED SPOT CERAMIC DRAWER KNOB,6,2011-01-25 13:38:00,1.25,16222.0,United Kingdom
576665,48185,DOORMAT FAIRY CAKE,1,2011-11-16 11:46:00,8.25,17841.0,United Kingdom
574307,20749,ASSORTED COLOUR MINI CASES,2,2011-11-03 16:40:00,7.95,15809.0,United Kingdom
573377,22848,BREAD BIN DINER STYLE PINK,1,2011-10-30 13:51:00,10.0,14653.0,United Kingdom
551016,82583,HOT BATHS METAL SIGN,12,2011-04-26 11:09:00,2.1,17975.0,United Kingdom
543040,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,2011-02-02 17:06:00,0.42,17337.0,United Kingdom
538349,21128,GOLD FISHING GNOME,1,2010-12-10 14:59:00,12.72,,United Kingdom
580311,22959,WRAP CHRISTMAS VILLAGE,25,2011-12-02 14:48:00,0.42,18245.0,United Kingdom
579187,23269,SET OF 2 CERAMIC CHRISTMAS TREES,3,2011-11-28 15:31:00,2.92,,United Kingdom
552951,85141,JARDIN ETCHED GLASS FRUITBOWL,3,2011-05-12 12:05:00,3.95,14988.0,United Kingdom
C575672,23165,LARGE CERAMIC TOP STORAGE JAR,-2,2011-11-10 15:03:00,1.65,13098.0,United Kingdom
537205,22470,HEART OF WICKER LARGE,6,2010-12-05 14:52:00,2.95,13034.0,United Kingdom
545304,22073,RED RETROSPOT STORAGE JAR,4,2011-03-01 12:51:00,3.75,16212.0,United Kingdom
569573,85099B,JUMBO BAG RED RETROSPOT,100,2011-10-05 10:11:00,1.79,17511.0,United Kingdom
547510,85099B,JUMBO BAG RED RETROSPOT,10,2011-03-23 13:42:00,1.95,15245.0,United Kingdom
562210,21811,HANGING HEART WITH BELL,12,2011-08-03 13:10:00,1.25,13486.0,United Kingdom
568868,23416,CHAMBRE HOOK,12,2011-09-29 12:00:00,1.65,12957.0,United Kingdom
