original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
Mortal Kombat Legends: Scorpion's Revenge,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.","Animation, Action, Fantasy",Extreme violence. Bad language. And a bloody good time.,"magic, ninja fighter, revenge, sorcerer, tournament, shaolin monk, fighting, based on video game, adult animation, god of thunder",Ethan Spaulding,"Patrick Seitz, Jordan Rodrigues, Jennifer Carpenter, Joel McHale, Ike Amadi, Steve Blum, Artt Butler, Darin De Paul, Robin Atkin Downes, Grey DeLisle",/4VlXER3FImHeFuUjBShFamhIp9M.jpg,Released,English,7.4
Defenders of Life,"In the hills of Costa Rica, Doña Carmen struggles to pass on her tribe's traditional ways of life. She must soon marry off her only granddaughter, and 70-year-old shaman Don Claudio lays his claim to the girl, who is only 12 and already impregnated by him.  When the girl befriends the young son of a visiting anthropologist, it forces a collision between the modern world and the ancient one.",Drama,Children Bearing Children,"rape, tradition, indigenous, pregnancy, pregnant minor, indigenous community",Dana Ziyasheva,"Beatriz Brenes, Arman Darbo, Eylin Esther Jimenez Gonzales, Carmen Romero Palacios, Francisco Rodriguez Atencio, Kattia Palacio Palacios, Alexis Rodriguez Gallardo, Mario Mendoza Jimenez, Maria Bejarano",/yB2iV0F8rcQ6Eq9K5iETJDXtwOu.jpg,Released,Spanish,7.4
新・破裏拳ポリマー,"Takeshi is a young man who receives the Polymar helmet to fight the vicious Pluto army. Given incredible abilities, he now fights for justice as Hurricane Polymar. This is a darker reboot of the original superhero anime of the same name.","Action, Animation, Science Fiction",Justice is stronger than revenge!,"japan, superhero",Akiyuki Shinbō,"Takeshi Aono, Ryotaro Okiayu, Yuko Miyamura, Ai Orikasa, Tessyo Genda, Michiko Neya, Takehito Koyasu, Ryuuzaburou Ootomo",/aZyQtZACDPgg5dGC0EvoOBieKmU.jpg,Released,Japanese,5.9
The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.","Drama, War",Music was his passion. Survival was his masterpiece.,"concert, nazi, resistance, warsaw ghetto, polish resistance, homeland, holocaust (shoah), hunger, world war ii, prisoner of war, ghetto, deportation, jew persecution, liberation, biography, survival, based on memoir or autobiography, pianist, poland",Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Michał Żebrowski, Wanja Mues",/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,Released,"English, Polish, German, Russian",8.5
Suzi Q,"Story of trailblazing American rock singer-songwriter Suzi Quatro, who helped redefine the role of women in rock 'n' roll when she broke out in 1973.","Documentary, Music",The queen has come to claim her crown.,"rock music, female rocker",Liam Firmager,"Suzi Quatro, Alice Cooper, Debbie Harry, Tina Weymouth, Joan Jett, Cherie Currie, Henry Winkler, KT Tunstall, Donita Sparks, Lita Ford",/esaguWDMhkVI8SN4MbNDbvWyQx3.jpg,Released,English,7.2
Body and Soul,"Charley Davis, against the wishes of his mother, becomes a boxer. As he becomes more successful the fighter becomes surrounded by shady characters, including an unethical promoter named Roberts, who tempt the man with a number of vices. Charley finds himself faced with increasingly difficult choices.",Drama,All for you...,"transporter, sports, film noir, over-the-hill fighter, over the hill, boxing",Robert Rossen,"John Garfield, Lilli Palmer, Hazel Brooks, Anne Revere, William Conrad, Lloyd Gough, Canada Lee, Larry Anzalone, Al Bain, Steve Benton",/lnKYS1A1k78X5v5IpLA96e6EYoe.jpg,Released,English,7.6
The Emerald Forest,"For ten years, engineer Bill Markham has searched tirelessly for his son Tommy who disappeared from the edge of the Brazilian rainforest. Miraculously, he finds the boy living among the reclusive Amazon tribe who adopted him. And that's when Bill's adventure truly begins. For his son is now a grown tribesman who moves skillfully through this beautiful-but-dangerous terrain, fearful only of those who would exploit it. And as Bill attempts to ""rescue"" him from the savagery of the untamed jungle, Tommy challenges Bill's idea of true civilization and his notions about who needs rescuing.","Action, Adventure, Drama",What kind of man would return year after year for ten years to rescue a missing boy from the most savage jungle in the world? His father.,"parent child relationship, amazon rainforest, based on true story, jungle, south america, missing child, child kidnapping, deforestation, rainforest, indigenous peoples",John Boorman,"Powers Boothe, Charley Boorman, Meg Foster, Yara Vaneau, William Rodriguez, Estee Chandler, Dira Paes, Eduardo Conde, Ariel Coelho, Peter Marinker",/fdRlqPnPFaPyQqS3KiBLJwWQPBe.jpg,Released,"English, Portuguese",6.9
Irene,"Irene, a feisty Irish girl in Philadelphia, clashes with her family and walks out, heading to New York City to seek fame and fortune. She gets a job as a dressmaker's model and becomes involved with Donald, the scion of a wealthy family. Donald's mother doesn't approve of Irene and sets out to discredit her in Donald's eyes.","Romance, Comedy",Out of a shanty into a mansion- out of heaven into your heart!,"philadelphia, pennsylvania, family, irish",Alfred E. Green,"Colleen Moore, Lloyd Hughes, George K. Arthur, Charles Murray, Kate Price, Ida Darling, Eva Novak, Edward Earle, Larry Wheat, Marion Aye",/qfKVRKXJFWl9FmWW5NLGVK8ntOX.jpg,Released,No Language,6.8
Zum zweiten Frühstück: Heiße Liebe,"An oft-naked male reporter decides to do an expose on ""sexual widows"", housewives who are neglected by their busy husbands. - This cheaper sex film is disguised as a report about green widows.",Comedy,Lonely wifes with active lives.,"research, housewife, sexual fantasy, reporter, erotic movie",Hubert Frank,"Ingeborg Steinbach, Ingrid Steeger, Evelyn Gutking-Bienert, Ingrid van Bergen, Andreas Mannkopff, Michael Büttner, Ewa Strömberg, Frank Glaubrecht, Bernd Bergemann, Rena Bergen",/zb1PZvhvLlo46tyHVdzmTmTjUQK.jpg,Released,German,4.4
Partly Cloudy,"Everyone knows that the stork delivers babies, but where do the storks get the babies from? The answer lies up in the stratosphere, where cloud people sculpt babies from clouds and bring them to life. Gus, a lonely and insecure grey cloud, is a master at creating ""dangerous"" babies. Crocodiles, porcupines, rams and more - Gus's beloved creations are works of art, but more than a handful for his loyal delivery stork partner, Peck. As Gus's creations become more and more rambunctious, Peck's job gets harder and harder. How will Peck manage to handle both his hazardous cargo and his friend's fiery temperament?","Animation, Family, Comedy",Charming and cute and clever,"baby, american football, alligator, cloud, eel, bone, dog, stork, thunder, porcupine, child, short film",Peter Sohn,"Tony Fucile, Lori Richardson",/oqYX2AJV53ibLVPrUZ1Z5XlGv5U.jpg,Released,English,8.1
