ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991,Fawcett Books,http://images.amazon.com/images/P/0449219364.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449219364.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449219364.01.LZZZZZZZ.jpg
0670891959,Fragments: The Collected Wisdom of Heraclitus,Heraclitus,2001,Viking Books,http://images.amazon.com/images/P/0670891959.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670891959.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670891959.01.LZZZZZZZ.jpg
0679025731,Flashmaps Boston (Flashmaps),Marcy S. Pritchard,1994,Fodor's Travel Publications,http://images.amazon.com/images/P/0679025731.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679025731.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679025731.01.LZZZZZZZ.jpg
0694517798,The Passion Dream Book,Whitney Otto,1997,Harper Audio,http://images.amazon.com/images/P/0694517798.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0694517798.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0694517798.01.LZZZZZZZ.jpg
1893162052,Eat Yourself Slim,Michel Montignac,1999,Erica House,http://images.amazon.com/images/P/1893162052.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1893162052.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1893162052.01.LZZZZZZZ.jpg
0890190372,Water Can Undermine Your Health,Dr. Norman W. Walker,1974,Norwalk Press,http://images.amazon.com/images/P/0890190372.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0890190372.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0890190372.01.LZZZZZZZ.jpg
3453150538,Weit wie das Meer.,Nicholas Sparks,1999,Heyne,http://images.amazon.com/images/P/3453150538.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3453150538.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3453150538.01.LZZZZZZZ.jpg
0207186359,Olive Street,Susan Errington,1995,Angus&amp;Robertson,http://images.amazon.com/images/P/0207186359.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0207186359.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0207186359.01.LZZZZZZZ.jpg
8471754312,Una Temporada En El Infierno y Antologia Poetica,Arthur Rimbaud,1997,Ediciones 29,http://images.amazon.com/images/P/8471754312.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8471754312.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8471754312.01.LZZZZZZZ.jpg
0880704977,In Search of the Source,Neil Anderson,1992,Multnomah@ Press,http://images.amazon.com/images/P/0880704977.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0880704977.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0880704977.01.LZZZZZZZ.jpg
