BillNo,Itemname,Quantity,Date,Price,CustomerID,Country
546910,LUNCH BAG PINK POLKADOT,4,17.03.2011 19:46,"1,65",13969.0,United Kingdom
559052,TEA PARTY BIRTHDAY CARD,2,05.07.2011 16:53,"0,83",,United Kingdom
558370,DINOSAUR LUNCH BOX WITH CUTLERY,2,28.06.2011 15:44,"2,55",17750.0,United Kingdom
567205,RED SPOT GIFT BAG LARGE,24,19.09.2011 10:44,"1,25",15365.0,United Kingdom
538361,DAIRY MAID STRIPE MUG,4,10.12.2010 16:36,"2,95",17757.0,United Kingdom
566439,WOODEN FRAME ANTIQUE WHITE,6,12.09.2011 15:14,"2,95",17656.0,United Kingdom
578255,T-LIGHT GLASS FLUTED ANTIQUE,12,23.11.2011 12:58,"1,25",14675.0,United Kingdom
536582,COWBOYS AND INDIANS BIRTHDAY CARD,12,01.12.2010 16:21,"0,42",12947.0,United Kingdom
541862,HOT WATER BOTTLE I AM SO POORLY,2,23.01.2011 16:02,"4,65",14068.0,United Kingdom
576910,DOORMAT RESPECTABLE HOUSE,10,17.11.2011 09:51,"7,08",12477.0,Germany
543309,EDWARDIAN PARASOL BLACK,2,07.02.2011 12:05,"5,95",18118.0,United Kingdom
547396,CHILDRENS CUTLERY POLKADOT PINK,6,22.03.2011 16:54,"8,29",,United Kingdom
571305,ECONOMY LUGGAGE TAG,1,17.10.2011 09:55,"2,46",,United Kingdom
555283,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,02.06.2011 09:04,"1,65",17162.0,United Kingdom
557326,ALARM CLOCK BAKELIKE GREEN,4,20.06.2011 09:50,"3,75",14194.0,United Kingdom
567343,PACK OF 72 RETROSPOT CAKE CASES,24,19.09.2011 15:21,"0,55",17628.0,United Kingdom
572092,PINK REGENCY TEACUP AND SAUCER,1,20.10.2011 14:41,"2,95",17125.0,United Kingdom
550278,RIBBON REEL HEARTS DESIGN,3,15.04.2011 13:15,"2,46",,United Kingdom
541655,ZINC FINISH 15CM PLANTER POTS,3,20.01.2011 12:04,"1,25",14779.0,United Kingdom
554956,BIRD HOUSE HOT WATER BOTTLE,1,27.05.2011 15:17,"7,46",,United Kingdom
578125,ICE CREAM PEN LIP GLOSS,240,23.11.2011 10:31,"1,04",17511.0,United Kingdom
536754,TRAVEL SEWING KIT,2,02.12.2010 14:09,"1,65",14449.0,United Kingdom
544313,NO SINGING METAL SIGN,12,17.02.2011 14:36,"2,1",14099.0,United Kingdom
537240,LARGE HEART MEASURING SPOONS,5,06.12.2010 10:08,"3,36",,United Kingdom
569571,VINTAGE CHRISTMAS GIFT BAG LARGE,400,05.10.2011 10:09,"1,04",16684.0,United Kingdom
578844,PLASTERS IN TIN SKULLS,1,25.11.2011 16:14,"3,29",,United Kingdom
575607,REINDEER HEART DECORATION SILVER,4,10.11.2011 12:37,"1,63",14096.0,United Kingdom
569336,BOX OF VINTAGE JIGSAW BLOCKS,3,03.10.2011 14:05,"5,95",15088.0,United Kingdom
566053,SOLDIERS EGG CUP,2,08.09.2011 14:57,"1,25",14410.0,United Kingdom
572742,JUMBO BAG RED RETROSPOT,10,25.10.2011 15:48,"2,08",14341.0,United Kingdom
543674,STRAWBERRY RAFFIA FOOD COVER,96,11.02.2011 11:28,"2,95",16013.0,United Kingdom
545992,RED RETROSPOT CHILDRENS UMBRELLA,5,08.03.2011 13:21,"3,25",16927.0,United Kingdom
558713,FELTCRAFT GIRL AMELIE KIT,1,01.07.2011 13:07,"4,95",15483.0,United Kingdom
548870,RED ENCHANTED FOREST PLACEMAT,2,04.04.2011 14:41,"1,65",14606.0,United Kingdom
541594,LARGE CAKE TOWEL PINK SPOTS,24,19.01.2011 15:30,"1,95",14916.0,United Kingdom
560996,RED SPOTTY BISCUIT TIN,1,22.07.2011 13:53,"3,75",17625.0,United Kingdom
552232,SQUARE FLOOR CUSHION VINTAGE RED,1,06.05.2011 15:54,"15,79",,United Kingdom
549554,BOX OF 24 COCKTAIL PARASOLS,25,10.04.2011 12:36,"0,42",16779.0,United Kingdom
543800,BLUE STRIPE CERAMIC DRAWER KNOB,6,13.02.2011 11:36,"1,25",17282.0,United Kingdom
569374,WHITE SPOT BLUE CERAMIC DRAWER KNOB,2,03.10.2011 16:14,"3,29",,United Kingdom
548258,PHOTO FRAME CORNICE,8,30.03.2011 11:04,"2,95",14146.0,United Kingdom
556187,CIRCUS PARADE LUNCH BOX,12,09.06.2011 11:49,"1,95",15296.0,United Kingdom
563698,DOORMAT RED RETROSPOT,2,18.08.2011 13:46,"7,95",14667.0,United Kingdom
